"idade","sexo","grupo","pop","obito","logmx","topals","topals.inf","topals.sup","vand.hat","gomp.hat"
77,"f","total",346609,9411,-3.60631812559976,-3.59624641288405,-3.60360107136173,-3.58889175440637,NA,NA
78,"f","total",327472,9966,-3.49222325537788,-3.51379818301517,-3.52091599500837,-3.50668037102197,NA,NA
79,"f","total",336878,10769,-3.4430492106572,-3.42984995314629,-3.43842213004754,-3.42127777624504,NA,NA
80,"f","total",294333,10554,-3.3282068444489,-3.33540172327741,-3.34647185918855,-3.32433158736628,NA,NA
81,"f","total",257272,9884,-3.25921660285343,-3.25196860947666,-3.2606076040359,-3.24332961491743,NA,NA
82,"f","total",238656,10311,-3.14181189802055,-3.16183549567591,-3.16873736047182,-3.15493363088,NA,NA
83,"f","total",235570,10681,-3.09354164709696,-3.07520238187517,-3.08164896555107,-3.06875579819926,NA,NA
84,"f","total",215429,10705,-3.00192046685888,-2.98986926807442,-2.99737928387219,-2.98235925227664,NA,NA
85,"f","total",198771,11066,-2.88827606385422,-2.90313615427367,-2.91273622855662,-2.89353607999072,NA,NA
86,"f","total",167818,9958,-2.82450381062023,-2.80920200166349,-2.81747847444536,-2.80092552888161,NA,NA
87,"f","total",146938,9735,-2.71428309027765,-2.7179678490533,-2.72515570247401,-2.7107799956326,NA,NA
88,"f","total",129687,9287,-2.63650828220203,-2.63033369644312,-2.63678793005396,-2.62387946283228,NA,NA
89,"f","total",108554,8642,-2.5306137075138,-2.53949954383294,-2.54570242105455,-2.53329666661133,NA,NA
90,"f","total",92296,7986,-2.44731079498396,-2.45106539122276,-2.45755545283778,-2.44457532960773,NA,NA
91,"f","total",74120,7040,-2.35407723124721,-2.36803123861258,-2.37528332612753,-2.36077915109762,NA,NA
92,"f","total",60193,6224,-2.26914327960798,-2.28469708600239,-2.29305718806515,-2.27633698393963,NA,NA
93,"f","total",46048,5175,-2.18584499155352,-2.20566293339221,-2.21535914395574,-2.19596672282868,NA,NA
94,"f","total",38313,4480,-2.14616621775534,-2.13012878078203,-2.14130770522502,-2.11894985633904,NA,NA
95,"f","total",32121,4078,-2.06390334969198,-2.05609462817185,-2.06885185607329,-2.0433374002704,NA,NA
96,"f","total",24294,3226,-2.01898642657506,-2.00234736081133,-2.0135693581517,-1.99112536347095,NA,NA
97,"f","total",19443,2691,-1.97757423636892,-1.9514000934508,-1.96212500172036,-1.94067518518124,NA,NA
98,"f","total",15130,2204,-1.9264056365096,-1.90325282609028,-1.91465537681276,-1.8918502753678,NA,NA
99,"f","total",12035,1778,-1.91232993414332,-1.85810555872976,-1.87117907168811,-1.8450320457714,NA,NA
100,"f","total",8813,1468,-1.7923269739252,-1.81755829136923,-1.83297644273932,-1.80214013999915,NA,NA
101,"f","total",5774,1006,-1.7473830095632,-1.78091102400871,-1.79908865077281,-1.76273339724461,NA,NA
102,"f","total",4203,782,-1.68169909445981,-1.74836375664819,-1.76955424768507,-1.72717326561131,NA,NA
103,"f","total",3280,618,-1.6691102439205,-1.72031648928767,-1.74467940739076,-1.69595357118457,NA,NA
104,"f","total",2492,508,-1.59035943232886,-1.69656922192714,-1.72420924217167,-1.66892920168262,NA,NA
105,"f","total",1830,325,-1.72824606350573,-1.67772195456662,-1.70871056105743,-1.64673334807581,NA,NA
106,"f","total",1033,181,-1.74172543785381,-1.6641746872061,-1.69856248762823,-1.62978688678397,NA,NA
107,"f","total",893,186,-1.5688399071633,-1.65502741984558,-1.69285138018829,-1.61720345950286,NA,NA
108,"f","total",1000,180,-1.71479842809193,-1.65068015248505,-1.69196801034481,-1.6093922946253,NA,NA
109,"f","total",980,174,-1.72849727245009,-1.65193288512453,-1.69670594074723,-1.60715982950183,NA,NA
110,"f","total",517,83,-1.82920226671183,-1.66838561776401,-1.71666055831751,-1.62011067721051,NA,NA
65,"f","api.urb",123150,961,-4.85318399457839,-4.85533063680626,-4.89908033904033,-4.8115809345722,-4.78349796171169,-4.87478023585108
66,"f","api.urb",115857,983,-4.76950283084869,-4.76010206862271,-4.79373175258355,-4.72647238466187,-4.74175225781669,-4.76714591157077
67,"f","api.urb",113410,1069,-4.66428593878433,-4.66397350043917,-4.68966960217475,-4.63827739870359,-4.6758347562651,-4.65951158729047
68,"f","api.urb",104818,1082,-4.57341433243952,-4.55914493225562,-4.58155114677005,-4.53673871774119,-4.5902942602707,-4.55187726301016
69,"f","api.urb",93985,1146,-4.40685757677601,-4.45951636407207,-4.4851328052123,-4.43389992293184,-4.49008149806387,-4.44424293872985
70,"f","api.urb",87811,1091,-4.3880920706807,-4.34958779588852,-4.38309571238415,-4.3160798793929,-4.37984355424145,-4.33660861444955
71,"f","api.urb",87477,1283,-4.22217481603422,-4.2419115404123,-4.26790838337834,-4.21591469744626,-4.26352293342592,-4.22897429016925
72,"f","api.urb",79821,1281,-4.13214560481594,-4.12423528493607,-4.14482441056129,-4.10364615931086,-4.14422694823054,-4.12133996588894
73,"f","api.urb",71412,1276,-4.02473573752812,-4.01145902945985,-4.03061651408877,-3.99230154483092,-4.02426997142834,-4.01370564160863
74,"f","api.urb",66597,1349,-3.89929595426112,-3.89898277398362,-3.921457809336,-3.87650773863124,-3.90529659166996,-3.90607131732833
75,"f","api.urb",69848,1646,-3.74797335025363,-3.78010651850739,-3.80905934366075,-3.75115369335404,-3.78842471022507,-3.79843699304802
76,"f","api.urb",63697,1536,-3.72495583098222,-3.67829559582463,-3.70076192725077,-3.65582926439849,-3.67437719887398,-3.69080266876771
77,"f","api.urb",59162,1682,-3.56029588234651,-3.57688467314187,-3.59465435734409,-3.55911498893964,-3.5635903518313,-3.58316834448741
